Name,Address,Closed
Neighborhood Market #5645,"2844 N Broadway St, Chicago",TRUE
Neighborhood Market #5646,"2551 W Cermak Rd, Chicago",TRUE
Neighborhood Market #3166,"4720 S. Cottage Grove Avenue, Chicago",TRUE
Walmart Supercenter #5402,"4650 W North Ave, Chicago",TRUE
Walmart Supercenter #5617,"4626 W Diversey Ave, Chicago",TRUE
Walmart Supercenter #3004,"3320 South Cicero Avenue, Cicero",FALSE
Neighborhood Market #3110,"7535 S. Ashland Ave., Chicago",TRUE
Walmart Pickup #4177,"6840 N Mccormick Blvd, Lincolnwood",FALSE
Walmart Supercenter #5781,"8331 S Stewart Ave, Chicago",TRUE
Walmart Supercenter #1998,"3626 Touhy Ave, Skokie",FALSE
Walmart Supercenter #2204,"1300 Des Plaines Ave, Forest Park",FALSE
Walmart Supercenter #1938,"7050 S Cicero Ave, Bedford Park",FALSE
Walmart #2816,"5630 W Touhy Ave, Niles",FALSE
Walmart Supercenter #5485,"2500 W 95th St, Evergreen Park",FALSE
Walmart Supercenter #5965,"10900 S. Doty Avenue, Chicago",FALSE
Walmart Supercenter #4631,"1100 5th Ave, Hammond",FALSE
Walmart Supercenter #1892,"9450 Joliet Rd, Hodgkins",FALSE
Walmart #1933,"137 W North Ave, Northlake",FALSE
Walmart #1779,"10260 S Harlem Ave, Bridgeview",FALSE
Walmart Supercenter #3725,"8500 W Golf Rd, Niles",FALSE
Walmart Supercenter #3601,"4700 135th St, Crestwood",FALSE
Walmart Supercenter #1737,"900 South Route 83, Villa Park",FALSE
Neighborhood Market #6167,"727 W. Golf Road, Des Plaines",FALSE
Walmart Supercenter #1681,"930 Mount Prospect Plz, Mount Prospect",FALSE
Walmart Supercenter #5486,"4005 167th St, Country Club Hills",FALSE
Walmart Supercenter #5442,"1050 N Rohlwing Rd, Addison",FALSE
Walmart Supercenter #2215,"2189 75th St, Darien",FALSE
Walmart Supercenter #2817,"17625 Torrence Ave, Lansing",FALSE
Walmart #2815,"1460 Golf Rd, Rolling Meadows",FALSE
Walmart Supercenter #1848,"3s100 Route 53, Glen Ellyn",FALSE
Walmart Supercenter #1556,"9265 159th St, Orland Hills",FALSE
Walmart Supercenter #2818,"7850 Cabela Dr, Hammond",FALSE
Walmart Supercenter #1897,"801 Meacham Rd, Elk Grove Village",FALSE
Walmart Supercenter #5404,"17550 South Halsted Street, Homewood",FALSE
Walmart Supercenter #1553,"314 West Army Trail Road, Bloomingdale",FALSE
Walmart Supercenter #1735,"1455 E Lake Cook Rd, Wheeling",FALSE
Walmart Supercenter #4049,"21000 Western Ave, Olympia Fields",FALSE
Walmart Supercenter #1596,"200 South Bolingbrook Drive, Bolingbrook",FALSE
Walmart #5276,"1555 N Rand Rd, Palatine",FALSE
Walmart #1576,"1555 Us Highway 41, Schererville",FALSE
Walmart Supercenter #1420,"850 S Barrington Rd, Streamwood",FALSE
Walmart Supercenter #1497,"22401 Central Avenue, Richton Park",FALSE
Walmart Supercenter #3790,"16241 S Farrell Rd, Lockport",FALSE
Walmart #1489,"555 E Townline Rd, Vernon Hills",FALSE
Walmart Supercenter #4529,"501 E Lincoln Hwy, New Lenox",FALSE
Walmart Supercenter #1401,"2552 W. 75th St, Naperville",FALSE
Walmart Supercenter #1404,"820 S Rand Rd, Lake Zurich",FALSE
Walmart Supercenter #4531,"420 Weber Road, Romeoville",FALSE
Walmart Supercenter #2544,"6087 Us Highway 6, Portage",FALSE
Walmart Supercenter #1618,"2936 E 79th Ave, Merrillville",FALSE
