Name,Address,Phone,Closed
Dollar General # 12422,"5627 N Lincoln Ave, Chicago, IL 60659",(773) 649-5944,TRUE
Dollar General # 19099,"4828 W Irving Park Rd #34, Chicago, IL 60641",(708) 667-6893,FALSE
Dollar General # 19101,"5255 N Milwaukee Ave, Chicago, IL 60630",(773) 283-6076,FALSE
Dollar General # 19094,"2341 W Howard St, Chicago, IL 60645",(872) 203-0421,FALSE
Dollar General # 11833,"3527 W Armitage Ave, Chicago, IL 60647",(773) 796-5250,TRUE
Dollar General # 12864,"5701 W Belmont Ave, Chicago, IL 60634",(312) 809-2840,FALSE
Dollar General # 13777,"5434 W N Ave, Chicago, IL 60639",(872) 310-3917,FALSE
Dollar General # 11908,"7540 W Irving Park Rd, Norridge, IL 60706",(708) 437-6686,FALSE
Dollar General # 15873,"5518 W. Chicago Ave, Chicago, IL 60651",(773) 943-7222,TRUE
Dollar General # 19095,"2740 W Cermak Rd, Chicago, IL 60608",(773) 696-4818,TRUE
Dollar General # 12621,"1800 S Cicero Ave, Cicero, IL 60804",(708) 943-7732,TRUE
Dollar General # 18701,"6225 S Kedzie Ave, Chicago, IL 60629",(312) 319-1742,FALSE
Dollar General # 19098,"4524 S Ashland Ave, Chicago, IL 60609",(872) 763-1460,FALSE
Dollar General # 17307,"496 25th Ave, Bellwood, IL 60104",(708) 593-5116,FALSE
Dollar General # 21272,"10201 W Roosevelt Rd, Westchester, IL 60154",(708) 947-6756,FALSE
Dollar General # 12544,"6647 S Western Ave, Chicago, IL 60636",(773) 312-3219,FALSE
Dollar General # 11993,"7100 W 79th St, Burbank, IL 60459",(708) 529-1074,FALSE
Dollar General # 12380,"8636 S Cicero Ave, Burbank, IL 60459",(708) 529-8620,FALSE
Dollar General # 13190,"549 E Pershing Rd, Chicago, IL 60653",(773) 942-2588,FALSE
Dollar General # 20597,"7443 S Racine Ave, Chicago, IL 60636",(872) 225-4955,FALSE
Dollar General # 11524,"5555 Saint Charles Rd, Berkeley, IL 60163",(708) 384-2140,FALSE
Dollar General # 10671,"8821 W 87th St, Hickory Hills, IL 60457",(708) 529-8475,FALSE
Dollar General # 15472,"8201 S. Racine Ave, Chicago, IL 60620",(312) 668-0325,FALSE
Dollar General # 13157,"9244 S Ashland Ave, Chicago, IL 60620",(773) 942-2746,FALSE
Dollar General # 19022,"8341 S Cottage Grove Ave, Chicago, IL 60619",(872) 212-6510,FALSE
Dollar General # 14614,"316 W. 103rd Street, Chicago, IL 60628",(708) 887-3495,FALSE
Dollar General # 19093,"1425 E 71st St, Chicago, IL 60619",(872) 201-2053,FALSE
Dollar General # 19103,"9520 S Jeffery Ave, Chicago, IL 60617",(872) 870-1043,FALSE
Dollar General # 11565,"2649 E 79th St, Chicago, IL 60649",(872) 310-3880,FALSE
Dollar General # 11821,"12635 S Halsted St, Chicago, IL 60628",(708) 593-5340,FALSE
Dollar General # 19100,"5018 S Cicero Ave, Chicago, IL 60638",(872) 267-3170,FALSE
Dollar General # 11509,"14829 Dixie Hwy, Harvey, IL 60426",(708) 501-7859,FALSE
Dollar General # 10419,"14441 Cicero Ave, Midlothian, IL 60445",(708) 629-1270,FALSE
Dollar General # 13413,"1751 Indianapolis Blvd, Whiting, IN 46394",(219) 370-0230,FALSE
Dollar General # 12621,"1800 S Cicero Ave, Cicero, IL 60804",(708) 943-7732,FALSE
Dollar General # 19092,"6843 Ogden Ave, Berwyn, IL 60402",(708) 393-4409,FALSE
Dollar General # 19105,"15901 Halsted St, Harvey, IL 60426",(708) 501-7629,FALSE
Dollar General # 13190,"549 E Pershing Rd, Chicago, IL 60653",(773) 942-2588,TRUE
Dollar General # 19102,"5725 N Broadway St, Chicago, IL 60660",(872) 810-3693,FALSE
Dollar General # 4064,"350 Townline Rd, Mundelein, IL 60060",(224) 358-3581,FALSE
Dollar General # 8045,"321 E Saint Charles Rd, Villa Park, IL 60181",(331) 209-0130,FALSE
Dollar General # 11803,"4039 W 183rd St, Country Club Hills, IL 60478",(708) 794-8110,FALSE
Dollar General # 10378,"2 River Pl Ste J, Lansing, IL 60438",(708) 858-0840,FALSE
Dollar General # 19331,"11040 S Michigan Ave, Chicago, IL 60628",(872) 234-6001,FALSE
Dollar General # 15029,"362 W. Lincoln Hwy (14th St.), Chicago Heights, IL 60411",(708) 722-2162,FALSE
Dollar General # 19096,"3560 E 118th St, Chicago, IL 60617",(872) 870-1090,FALSE
Dollar General # 14303,"10 Main Street, Park Forest, IL 60466",(708) 733-5620,TRUE
Dollar General # 15497,"3009 S. Chicago Rd, Steger, IL 60475",(312) 248-3945,FALSE
Dollar General # 3498,"22324 Governors Hwy, Richton Park, IL 60471",(708) 515-4070,FALSE
Dollar General # 3871,"3 Sauk Plz, Sauk Village, IL 60411",(708) 573-0136,FALSE
Dollar General # 13095,"2619 169th Street, Hammond, IN 46323",(219) 230-4572,FALSE
