Name,Address,Phone,Fax,Hours
Tony's Berwyn,"Cermak Plaza, 7111 Cermak Rd., Berwyn, IL 60402",(708) 683-4072,"",Mon-Sun 6:30am-11pm
Tony's Prospect,"1241 E. Rand Road, Prospect Heights, IL 60070",(847) 394-1000,(847) 394-3767,Mon-Sun: 7am-10pm
Tony's Niles,"Ballard Plaza, 8900 Greenwood Ave, Niles, IL 60714",(847) 795-4600,(847) 795-4605,Mon-Sun: 7am-10pm
Tony's Burbank,"7770 South Cicero Avenue, Burbank, IL 60459",(708) 733-7337,(708) 733-7340,Mon-Sun: 7am-10pm
Tony's Lincoln,"5233 N. Lincoln Ave, Chicago, IL 60625",(773) 943-6042,(773) 943-6890,Mon-Sun: 7am-10pm
Tony's Melrose Park,"Manheim Plaza, 2099 N. Mannheim, Melrose Park, IL 60160",(708) 345-4700,(708) 345-8083,Mon-Sun: 7am-10pm
Tony's Plainfield,"2300 S. Route 59, Plainfield, IL 60586",(815) 733-2135,(815) 733-2450,Mon-Sun: 7am-10pm
Tony's Hanover,"Westview Plaza, 7580 Barrington Rd., Hanover Park, IL 60133",(630) 246-7359,(630) 504-3042,Mon-Sun: 7am-10pm
Tony's Fullerton,"3607 W. Fullerton, Chicago, IL 60647",(773) 278-8355,(773) 278-9738,Mon-Sun: 7am-10pm
Tony's Elston,"4137 N. Elston Ave, Chicago, IL 60618",(773) 866-0010,(773) 866-0050,Mon-Sun: 7am-10pm
Tony's Countryside,"6704 Joliet Rd., Countryside, IL 60525",(708) 286-6041,(708) 286-6890,Mon-Sun: 7am-10pm
Tony's Central,"2500 N. Central Avenue, Chicago, IL 60639",(773) 804-1556,(773) 804-1622,Mon-Sun: 7am-10pm
Tony's Bridgeview,"Southfield Plaza, 8630 S. Harlem Ave, Bridgeview, IL 60455",(708) 233-9710,(708) 233-9674,Mon-Sun: 7am-10pm
Tony's Bolingbrook,"Pheasant Hill Plaza, 271 S. Bolingbrook Dr., Bolingbrook, IL 60440",(630) 914-5494,(630) 914-5493,Mon-Sun: 7am-10pm
Tony's Belmont 2,"5630 W. Belmont Ave, Chicago, IL 60634",(773) 993-0090,(773) 993-0970,Mon-Sun: 7am-10pm
Tony's Belmont,"4608 W. Belmont Avenue, Chicago, IL 60641",(773) 202-1760,(773) 202-1761,Mon-Sun: 7am-10pm
