Store_Name,Address,Status
Whole Foods Lakeview,"3201 N. Ashland Ave Chicago, IL 60657",Open:
Whole Foods Halsted and Waveland,"3640 N Halsted St Chicago, IL 60613",Open:
Whole Foods DePaul,"959 W Fullerton Ave Chicago, IL 60614",Closed
Whole Foods Lincoln Park,"1550 N Kingsbury St Chicago, IL 60642",Open:
Whole Foods Chicago Edgewater,"6009 N Broadway Chicago, IL 60660",Open:
Whole Foods Sauganash,"6020 N Cicero Ave Chicago, IL 60646",Open:
Whole Foods Gold Coast,"30 W Huron St Chicago, IL 60654",Open:
Whole Foods West Loop,"1 N Halsted St Chicago, IL 60661",Open:
Whole Foods Streeterville,"255 E Grand Ave Chicago, IL 60611",Open:
Whole Foods South Loop,"1101 S Canal St Ste 107, Ste 107 Chicago, IL 60607",Open:
Whole Foods Downtown Evanston,"1640 Chicago Ave Evanston, IL 60201",Open:
Whole Foods River Forest,"7245 Lake St River Forest, IL 60305",Open:
Whole Foods Park Ridge,"225 W Touhy Ave Park Ridge, IL 60068",Open:
Whole Foods Green Bay Road,"2748 Green Bay Rd Evanston, IL 60201",Open:
Whole Foods Hyde Park,"5118 S Lake Park Ave Chicago, IL 60615",Open:
Whole Foods Englewood,"832 W 63rd St Chicago, IL 60621",Closed
Whole Foods Northbrook,"840 Willow Rd, Suite M Northbrook, IL 60062",Open:
Whole Foods Elmhurst,"215 S IL Rte 83 Elmhurst, IL 60126",Open:
Whole Foods Hinsdale,"500 E Ogden Ave Hinsdale, IL 60521",Open:
Whole Foods Evergreen Park,"9600 S Western Ave Evergreen Park, IL 60805",Open:
Whole Foods Deerfield,"760 Waukegan Rd Deerfield, IL 60015",Open:
Whole Foods Willowbrook,"6300 Kingery Hwy Willowbrook, IL 60527",Open:
Whole Foods Schaumburg,"750 N Martingale Rd Schaumburg, IL 60173",Open:
Whole Foods Wheaton,"89 Danada Square East Wheaton, IL 60189",Open:
Whole Foods Kildeer,"20281 Rand Rd Kildeer, IL 60047",Open:
Whole Foods Vernon Hills,"851 N Milwaukee Ave Vernon Hills, IL 60061",Open:
Whole Foods Orland Park,"15260 South La Grange Road Orland Park, IL 60462",Open:
